num_factura,fecha_ingreso,articulo_nombre,valor_unidad,cantidad_integer,valor_venta
FACT003,28/10/2016,10PDBL50G,2600,0,0
FACT003,28/10/2016,10PDBLCSU,2600,0,0
FACT003,28/10/2016,10PDBLDI45G,2600,0,0
FACT003,28/10/2016,10PDBLGA50G,3200,0,0
FACT003,28/10/2016,10PDCHC50G,3200,0,0
FACT003,28/10/2016,10PDCHDE45G,3200,0,0
FACT003,28/10/2016,10PDCHDE50G,3300,0,0
FACT003,28/10/2016,10PDCHDE50G,3200,0,0
FACT003,28/10/2016,10PDCHTGME45G,3200,0,0
FACT003,28/10/2016,10PDCL45G,3300,0,0
FACT003,28/10/2016,10PDCL50G,3800,0,0
FACT003,28/10/2016,10PDCL50G,2900,0,0
FACT003,28/10/2016,10PDCLBMA45G,2900,0,0
FACT003,28/10/2016,10PDCLG45G,2700,0,0
FACT003,28/10/2016,10PDCLMA45G,3300,0,0
FACT003,28/10/2016,10PDCN40G,2600,0,0
FACT003,28/10/2016,10PDCNDE50G,2900,0,0
FACT003,28/10/2016,10PDCRDE50G,2900,0,0
FACT003,28/10/2016,10PDCRDEMA50G,3000,0,0
FACT003,28/10/2016,10PDCREDE45G,3200,0,0
FACT003,28/10/2016,10PDCREDE50G,2900,0,0
FACT003,28/10/2016,10PDCREDE60G,2800,0,0
FACT003,28/10/2016,10PDCT45G,3000,0,0
FACT003,28/10/2016,10PDCTDI45G,3200,0,0
FACT003,28/10/2016,10PDCUU,4000,0,0
FACT003,28/10/2016,10PDCZ50G,3100,0,0
FACT003,28/10/2016,10PDCZME50G,3200,0,0
FACT003,28/10/2016,10PDEBDE50G,3200,0,0
FACT003,28/10/2016,10PDEBDE50G,3100,0,0
FACT003,28/10/2016,10PDEBDI50G,3100,0,0
FACT003,28/10/2016,10PDEBDOME45G,2900,0,0
FACT003,28/10/2016,10PDEBO50G,2900,0,0
FACT003,28/10/2016,10PDEBODE50G,2900,0,0
FACT003,28/10/2016,10PDEBP55G,2900,0,0
FACT003,28/10/2016,10PDEBPDE50G,3100,0,0
FACT003,28/10/2016,10PDEBRDI70G,3100,0,0
FACT003,28/10/2016,10PDEBRME50G,3000,0,0
FACT003,28/10/2016,10PDEEG50G,3100,0,0
FACT003,28/10/2016,10PDEPA45G,3100,0,0
FACT003,28/10/2016,10PDEPDE45G,3100,0,0
FACT003,28/10/2016,10PDEPE45G,3200,0,0
FACT003,28/10/2016,10PDEREP50G,3100,0,0
FACT003,28/10/2016,10PDES50G,3100,0,0
FACT003,28/10/2016,10PDES60G,3100,0,0
