Inicio log nanducho cargue archivo compras 2017-10-04 16:05:04 -0500
27/07/2017,FACT2000-0001,RRUWWWSE,11. Linea 1> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0002,RRUWWWWA,10. Linea 2> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0003,RRUWWWWE,21. Linea 3> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0004,RRUWWWGZ,7. Linea 4> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0005,RRUWWWZLFZ,1. Linea 5> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0006,RRUWWWGL,2. Linea 6> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0007,RRUWWWPZ,8. Linea 7> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0008,RRUWWWSB,1. Linea 8> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0009,RRUWWWFGA,1. Linea 9> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0010,RRUWWWSA,6. Linea 10> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0011,RRUWWWEB,5. Linea 11> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0012,RRUWWWBL,7. Linea 12> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0013,RRUWWWBZ,21. Linea 13> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0014,RRUWWWZZ,7. Linea 14> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0015,RRUWWWAZ,8. Linea 15> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0016,RRUWWSGG,1. Linea 16> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0017,RRUWWWGZ,8. Linea 17> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0018,RRUWWWSZ,10. Linea 18> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0019,RRUWWWAF,1. Linea 19> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0020,RRUWWWGA,4. Linea 20> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0021,RRUWWWSE,4. Linea 21> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0022,PVGWSBZ,87.5. Linea 22> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0023,PVGWWEZ,136.4. Linea 23> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0024,PVGWWFZ,60. Linea 24> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0025,PVGWWWE,91.6. Linea 25> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0026,PVGWSFZ,97. Linea 26> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0027,PVGWWGZ,491.4. Linea 27> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0028,PVGWWAZ,99.8. Linea 28> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0029,PVGWZGZ,1. Linea 29> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0030,PVGWSGZ,102.6. Linea 30> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0031,PVGWWBZ,144.5. Linea 31> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0032,PVGWWWE,22.4. Linea 32> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0033,PVGWWZZ,126. Linea 33> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0034,GVUWSWFLSZ,1. Linea 34> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0035,PVGWWWE,51.4. Linea 35> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0036,PVUWWSF,41. Linea 36> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0037,PVGWWSS,28. Linea 37> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0038,PVGWWWS,25. Linea 38> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0039,PVGWWBS,20. Linea 39> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0040,PVUWWWB,11. Linea 40> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0041,PVUWWSEL,4. Linea 41> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0042,PVUWWWGZ,1. Linea 42> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0043,PVUWWWZL,2. Linea 43> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0044,PVUWWWAL,4. Linea 44> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0045,PVUWWSZL,9. Linea 45> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0046,PVUWWFF,1. Linea 46> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0047,PVUWWSWL,1. Linea 47> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0048,PVUWWSB,3. Linea 48> compras ok| kardex ok| inventario creado ok
