Inicio log nanducho cargue archivo compras 2018-06-28 17:06:44 -0500
2018-04-08,F-000-0001,PVUWWBG,4.00. Linea 1> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0002,PVUWWWF,5.00. Linea 2> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0003,PVGWWWA,57.00. Linea 3> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0004,PVUWWSB,6.00. Linea 4> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0005,PVUWWSF,12.00. Linea 5> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0006,PVGWWSE,64.20. Linea 6> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0007,PVGWWPZ,86.10. Linea 7> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0008,PVUWWFS,20.00. Linea 8> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0009,PVUWWAG,4.00. Linea 9> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0010,PVGWWSE,78.00. Linea 10> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0011,PVUWWSS,5.00. Linea 11> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0012,PVUWWWWL,64.00. Linea 12> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0013,PVGWSBE,7.70. Linea 13> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0014,PVGWWBZ,90.10. Linea 14> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0015,PVGWWBE,18.40. Linea 15> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0016,PVGWWWZ,94.60. Linea 16> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0017,PVUWWWL,90.00. Linea 17> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0018,PVGWWZE,91.10. Linea 18> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0019,PVUWWGEL,7.00. Linea 19> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0020,PVUWWWLL,65.00. Linea 20> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0021,PVUWWWP,34.00. Linea 21> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0022,PVUWWWAZ,3.00. Linea 22> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0023,PVUWWWPL,4.00. Linea 23> compras ok| kardex ok| inventario creado ok
